text,category,severity,service_type
"Hi IT team, Keyboard not responding. The keyboard keys are not responding and the mouse freezes after the latest update. This impacts customer support.",hardware,low,peripheral
Shared mailbox request Please grant access to shared mailbox for our department after restart. This is affecting my work.,email,low,email
Calendar invites failing Meeting invites fail or do not update in calendar since this morning. This is affecting my work.,email,medium,calendar
Password reset required I forgot my password and I am locked out after attempts since this morning. It is urgent.,account,high,password_reset
"Hi IT team, Outlook not syncing. Outlook is not syncing new emails since this morning. This is delaying service.",email,medium,email
Faded prints Printer prints faded pages and shows low toner since this morning.,printer,high,printer
Antivirus license expired Antivirus says license expired and blocks updates this week. This is delaying service.,software,medium,database_client
"Hello, Password reset required. I forgot my password and I am locked out after attempts since yesterday. This is affecting my work.",account,high,password_reset
Print queue stuck Print queue is stuck and jobs cannot be cancelled today.,printer,high,print_queue
LAN keeps disconnecting Ethernet connection drops when cable is moved after the latest update.,network,high,connectivity
Possible data leak A sensitive document may have been shared incorrectly since yesterday. Please advise. This impacts customer support.,security,critical,security_incident
Requesting support: Account disabled. My account seems disabled and I cannot sign in this week. This is delaying service.,account,high,password_reset
"Please assist, Cannot access shared drive. I cannot access the shared drive on the network since this morning. It says path not found. This impacts customer support.",network,medium,dns
Calendar invites failing Meeting invites fail or do not update in calendar since yesterday.,email,low,email
Shared mailbox request Please grant access to shared mailbox for our department after restart. This is delaying service.,email,medium,calendar
"Hi IT team, Calendar invites failing. Meeting invites fail or do not update in calendar today. This is delaying service.",email,medium,collaboration
Antivirus license expired Antivirus says license expired and blocks updates after restart. I cannot continue my tasks.,software,medium,database_client
"Afternoon, Cannot start desktop computer. The desktop computer is not powering on since this morning. The power light is off. It is urgent.",hardware,high,workstation
Cannot send email Emails stay in outbox with server connection error today. It is urgent.,email,medium,email
MFA not working OTP/MFA is not working and I cannot login after the latest update.,account,high,permissions
Cannot send email Emails stay in outbox with server connection error since yesterday. I cannot continue my tasks.,email,low,collaboration
No internet connection Wi-Fi shows connected but no internet works today. I cannot continue my tasks.,network,medium,file_sharing
"Morning, Printer not detected. Printer not detected on the network since this morning. Cannot print from any PC. This is delaying service.",printer,medium,printer
"Afternoon, Antivirus license expired. Antivirus says license expired and blocks updates today. This is delaying service.",software,medium,web_application
Monitor flickering My monitor keeps flickering and sometimes goes black since yesterday. This is affecting my work.,hardware,high,desktop
Overheating The PC becomes very hot and shuts down during work since this morning. I cannot continue my tasks.,hardware,medium,power
LAN keeps disconnecting Ethernet connection drops when cable is moved since this morning. I cannot continue my tasks.,network,high,connectivity
Overheating The computer becomes very hot and shuts down during work this week. It is urgent.,hardware,low,power
Printer not detected Printer not detected on the network since yesterday. Cannot print from any PC.,printer,medium,scanner
Requesting support: Request new access. Please grant me access to the procurement/finance module required for my work after the latest update.,account,medium,access_management
"Afternoon, Scanner not working. Scanner fails with paper jam message even when clear after the latest update. I cannot continue my tasks.",printer,low,scanner
Battery not charging The computer battery is not charging and only works with charger.,hardware,low,laptop
Monitor flickering My monitor keeps flickering and sometimes goes black since yesterday. I cannot continue my tasks.,hardware,high,laptop
"Kindly help, Unauthorized login attempts. There are login attempts from unknown location on my account after the latest update. I cannot continue my tasks.",security,critical,security_incident
Monitor flickering My monitor keeps flickering and sometimes goes black for the past 2 days. This is affecting my work.,hardware,low,desktop
"Morning, Faded prints. Printer prints faded pages and shows low toner after the latest update. This is affecting my work.",printer,medium,printer
"Please assist, Faded prints. Printer prints faded pages and shows low toner for the past 2 days. This is delaying service.",printer,high,printer
Requesting support: Shared mailbox request. Please grant access to shared mailbox for our department today. This impacts customer support.,email,medium,calendar
Outlook not syncing Outlook is not syncing new emails after restart.,email,low,email
LAN keeps disconnecting Ethernet connection drops when cable is moved this week. It is urgent.,network,medium,file_sharing
USB security warning A USB device triggered a security warning when connected after the latest update. This is affecting my work.,security,high,data_leak
Overheating The PC becomes very hot and shuts down during work this week. This is delaying service.,hardware,low,workstation
Blue screen on workstation The workstation shows a blue screen and restarts frequently today. This impacts customer support.,hardware,high,peripheral
Requesting support: Faded prints. Printer prints faded pages and shows low toner since this morning. This is affecting my work.,printer,high,scanner
IT portal error on submit The IT portal shows an error when submitting a ticket today.,software,low,os_update
Internal HR system not responding The HR system is not responding and pages keep loading today. I cannot continue my tasks.,software,high,os_update
Monitor flickering My monitor keeps flickering and sometimes goes black today. This impacts customer support.,hardware,medium,desktop
Keyboard not responding The keyboard keys are not responding and the mouse freezes today. This is affecting my work.,hardware,medium,peripheral
I need help with DNS issue. Some websites open but others fail; looks like DNS issue this week. I cannot continue my tasks.,network,medium,lan
Cannot access shared drive I cannot access the shared drive on the network this week. It says path not found. This is affecting my work.,network,low,dns
Access denied to folder I get access denied when opening the shared folder/system after restart. I cannot continue my tasks.,account,high,mfa
Printer offline Printer shows offline and jobs do not print since yesterday. I cannot continue my tasks.,printer,high,print_queue
"Hi IT team, Antivirus license expired. Antivirus says license expired and blocks updates since yesterday. This is delaying service.",software,low,os_update
I need help with Account disabled. My account seems disabled and I cannot sign in after the latest update.,account,high,mfa
LAN keeps disconnecting Ethernet connection drops when cable is moved since yesterday. I cannot continue my tasks.,network,medium,wifi
Attachments blocked Email attachments cannot be downloaded or are blocked for the past 2 days.,email,high,collaboration
I need help with Antivirus license expired. Antivirus says license expired and blocks updates after restart.,software,medium,database_client
"Morning, VPN not connecting. VPN fails to connect to head office after restart. I cannot access shared folders. It is urgent.",network,medium,wifi
Attachments blocked Email attachments cannot be downloaded or are blocked since yesterday. This is delaying service.,email,low,mailbox_access
Unauthorized login attempts There are login attempts from unknown location on my account for the past 2 days. It is urgent.,security,critical,phishing
"Kindly help, DNS issue. Some websites open but others fail; looks like DNS issue for the past 2 days. It is urgent.",network,high,lan
Outlook not syncing Outlook is not syncing new emails since yesterday. It is urgent.,email,high,calendar
"Afternoon, Monitor flickering. My monitor keeps flickering and sometimes goes black after restart. This is affecting my work.",hardware,high,peripheral
No internet connection Wi-Fi shows connected but no internet works after restart. I cannot continue my tasks.,network,high,wifi
Cannot start laptop The laptop is not powering on this week. The power light is off.,hardware,high,peripheral
Blue screen on computer The computer shows a blue screen and restarts frequently for the past 2 days. This impacts customer support.,hardware,high,desktop
Update failed Windows/software update fails with an error code and PC becomes slow today. It is urgent.,software,low,antivirus
"Morning, LAN keeps disconnecting. Ethernet connection drops when cable is moved after the latest update.",network,high,dns
Shared mailbox request Please grant access to shared mailbox for our department after restart. This impacts customer support.,email,medium,mailbox_access
"Morning, Antivirus license expired. Antivirus says license expired and blocks updates after restart.",software,high,database_client
"Hi IT team, Printer not detected. Printer not detected on the network for the past 2 days. Cannot print from any PC. I cannot continue my tasks.",printer,high,print_queue
Printer offline Printer shows offline and jobs do not print after restart. I cannot continue my tasks.,printer,high,print_queue
Printer not detected Printer not detected on the network today. Cannot print from any PC. I cannot continue my tasks.,printer,low,printer
USB security warning A USB device triggered a security warning when connected today.,security,high,phishing
Attachments blocked Email attachments cannot be downloaded or are blocked after restart. This is delaying service.,email,low,calendar
"Hello, Battery not charging. The computer battery is not charging and only works with charger. This is affecting my work.",hardware,medium,desktop
MFA not working OTP/MFA is not working and I cannot login after the latest update. This is delaying service.,account,high,permissions
IT portal error on submit The IT portal shows an error when submitting a ticket for the past 2 days. This impacts customer support.,software,medium,antivirus
Access denied to folder I get access denied when opening the shared folder/system since yesterday. This impacts customer support.,account,high,mfa
"Afternoon, Access denied to folder. I get access denied when opening the shared folder/system since this morning. This is delaying service.",account,high,access_management
Attachments blocked Email attachments cannot be downloaded or are blocked after restart.,email,medium,mailbox_access
Password reset required I forgot my password and I am locked out after attempts for the past 2 days. This is affecting my work.,account,high,access_management
Internal HR system not responding The HR system is not responding and pages keep loading this week. This is affecting my work.,software,high,database_client
Calendar invites failing Meeting invites fail or do not update in calendar since yesterday. This is affecting my work.,email,medium,mailbox_access
Attachments blocked Email attachments cannot be downloaded or are blocked since this morning. I cannot continue my tasks.,email,low,calendar
Battery not charging The laptop battery is not charging and only works with charger. This is affecting my work.,hardware,medium,peripheral
"Please assist, Cannot start desktop computer. The desktop computer is not powering on after restart. The power light is off. This is delaying service.",hardware,high,power
Update failed Windows/software update fails with an error code and PC becomes slow for the past 2 days. It is urgent.,software,low,desktop_application
Cannot send email Emails stay in outbox with server connection error after restart. This impacts customer support.,email,low,email
Keyboard not responding The keyboard keys are not responding and the mouse freezes since this morning. This is affecting my work.,hardware,medium,laptop
"Afternoon, Outlook not syncing. Outlook is not syncing new emails this week. This impacts customer support.",email,medium,mailbox_access
Phishing email reported I received a suspicious email asking for credentials for the past 2 days. I did not click links.,security,high,data_leak
Requesting support: LAN keeps disconnecting. Ethernet connection drops when cable is moved after the latest update. This is affecting my work.,network,medium,dns
Keyboard not responding The keyboard keys are not responding and the mouse freezes for the past 2 days. This is affecting my work.,hardware,medium,power
"Afternoon, VPN not connecting. VPN fails to connect to head office for the past 2 days. I cannot access shared folders. It is urgent.",network,medium,file_sharing
"Please assist, Network connection is very slow. The network is very slow at Maseru HQ since yesterday. Emails take long and sites time out. I cannot continue my tasks.",network,low,dns
Cannot login to LECIntelliSupport system I cannot login to the LECIntelliSupport portal for the past 2 days. It says invalid session or error. It is urgent.,software,medium,antivirus
MFA not working OTP/MFA is not working and I cannot login since yesterday.,account,high,password_reset
DNS issue Some websites open but others fail; looks like DNS issue since this morning. It is urgent.,network,medium,connectivity
Possible data leak A sensitive document may have been shared incorrectly today. Please advise. It is urgent.,security,critical,security_incident
Blue screen on desktop computer The desktop computer shows a blue screen and restarts frequently today. This is affecting my work.,hardware,high,desktop
"Afternoon, Application crashing. The application crashes when I click submit/save for the past 2 days. This is delaying service.",software,medium,os_update
Account disabled My account seems disabled and I cannot sign in for the past 2 days. This is affecting my work.,account,high,permissions
"Morning, No internet connection. Wi-Fi shows connected but no internet works for the past 2 days. This is affecting my work.",network,medium,vpn
Application crashing The application crashes when I click submit/save after the latest update.,software,low,web_application
Account disabled My account seems disabled and I cannot sign in after the latest update. This impacts customer support.,account,high,permissions
Cannot start PC The PC is not powering on this week. The power light is off. This is delaying service.,hardware,high,peripheral
Internal HR system not responding The HR system is not responding and pages keep loading this week. This is affecting my work.,software,high,web_application
"Morning, Calendar invites failing. Meeting invites fail or do not update in calendar since yesterday. It is urgent.",email,low,collaboration
"Morning, Application crashing. The application crashes when I click submit/save today. I cannot continue my tasks.",software,medium,desktop_application
Blue screen on workstation The workstation shows a blue screen and restarts frequently after restart. I cannot continue my tasks.,hardware,high,desktop
"Morning, Attachments blocked. Email attachments cannot be downloaded or are blocked today. It is urgent.",email,low,calendar
Possible data leak A sensitive document may have been shared incorrectly today. Please advise. It is urgent.,security,critical,phishing
"Please assist, MFA not working. OTP/MFA is not working and I cannot login after restart.",account,medium,mfa
Requesting support: Antivirus license expired. Antivirus says license expired and blocks updates this week. This is affecting my work.,software,low,web_application
Overheating The computer becomes very hot and shuts down during work for the past 2 days.,hardware,medium,workstation
Printer offline Printer shows offline and jobs do not print today. This is affecting my work.,printer,high,scanner
I need help with Faded prints. Printer prints faded pages and shows low toner after the latest update. It is urgent.,printer,medium,print_queue
Monitor flickering My monitor keeps flickering and sometimes goes black today. This is delaying service.,hardware,high,laptop
Update failed Windows/software update fails with an error code and PC becomes slow after the latest update. It is urgent.,software,high,desktop_application
Overheating The desktop computer becomes very hot and shuts down during work today.,hardware,high,desktop
Print queue stuck Print queue is stuck and jobs cannot be cancelled this week. This is affecting my work.,printer,low,scanner
"Hello, Possible data leak. A sensitive document may have been shared incorrectly since this morning. Please advise. This is delaying service.",security,critical,security_incident
Password reset required I forgot my password and I am locked out after attempts this week. This is affecting my work.,account,high,password_reset
Access denied to folder I get access denied when opening the shared folder/system for the past 2 days. I cannot continue my tasks.,account,high,mfa
"Afternoon, USB security warning. A USB device triggered a security warning when connected since this morning. This is delaying service.",security,high,malware
Cannot access shared drive I cannot access the shared drive on the network today. It says path not found. This is affecting my work.,network,medium,file_sharing
"Afternoon, Phishing email reported. I received a suspicious email asking for credentials for the past 2 days. I did not click links. This is affecting my work.",security,high,unauthorized_access
Monitor flickering My monitor keeps flickering and sometimes goes black since yesterday. This is delaying service.,hardware,medium,power
Access denied to folder I get access denied when opening the shared folder/system for the past 2 days. It is urgent.,account,medium,access_management
"Please assist, Access denied to folder. I get access denied when opening the shared folder/system since this morning. This is affecting my work.",account,medium,password_reset
Printer offline Printer shows offline and jobs do not print after the latest update.,printer,high,toner
"Please assist, Phishing email reported. I received a suspicious email asking for credentials since this morning. I did not click links. It is urgent.",security,high,malware
Shared mailbox request Please grant access to shared mailbox for our department after restart.,email,medium,collaboration
Printer offline Printer shows offline and jobs do not print since this morning. It is urgent.,printer,high,printer
"Hello, VPN not connecting. VPN fails to connect to head office after the latest update. I cannot access shared folders. I cannot continue my tasks.",network,medium,file_sharing
"Morning, Shared mailbox request. Please grant access to shared mailbox for our department after the latest update. This impacts customer support.",email,low,email
"Afternoon, Update failed. Windows/software update fails with an error code and PC becomes slow this week. This is affecting my work.",software,high,os_update
Antivirus license expired Antivirus says license expired and blocks updates since this morning. This is affecting my work.,software,low,web_application
"Kindly help, Printer offline. Printer shows offline and jobs do not print after the latest update. This is delaying service.",printer,high,toner
"Hello, No internet connection. Wi-Fi shows connected but no internet works after restart. This is affecting my work.",network,medium,wifi
Phishing email reported I received a suspicious email asking for credentials after the latest update. I did not click links. This is affecting my work.,security,high,phishing
Shared mailbox request Please grant access to shared mailbox for our department after restart. This is delaying service.,email,high,collaboration
"Hello, IT portal error on submit. The IT portal shows an error when submitting a ticket since this morning.",software,low,os_update
Malware alert detected Antivirus detected malware and quarantined a file since yesterday. Please investigate. This is affecting my work.,security,critical,phishing
Unauthorized login attempts There are login attempts from unknown location on my account after the latest update. I cannot continue my tasks.,security,critical,unauthorized_access
"Afternoon, Printer not detected. Printer not detected on the network today. Cannot print from any PC. This impacts customer support.",printer,high,printer
"Morning, Cannot login to LECIntelliSupport system. I cannot login to the LECIntelliSupport portal after the latest update. It says invalid session or error. This is delaying service.",software,medium,antivirus
"Morning, Cannot send email. Emails stay in outbox with server connection error after the latest update. This impacts customer support.",email,medium,calendar
MFA not working OTP/MFA is not working and I cannot login since yesterday.,account,high,mfa
Cannot send email Emails stay in outbox with server connection error after the latest update. This is delaying service.,email,high,calendar
Account disabled My account seems disabled and I cannot sign in today. This is delaying service.,account,high,mfa
"Please assist, Outlook not syncing. Outlook is not syncing new emails this week.",email,high,calendar
USB security warning A USB device triggered a security warning when connected after restart. This impacts customer support.,security,high,unauthorized_access
Printer not detected Printer not detected on the network for the past 2 days. Cannot print from any PC. This impacts customer support.,printer,medium,print_queue
IT portal error on submit The IT portal shows an error when submitting a ticket after restart. I cannot continue my tasks.,software,medium,database_client
"Morning, Printer offline. Printer shows offline and jobs do not print this week. This is delaying service.",printer,high,toner
Overheating The workstation becomes very hot and shuts down during work since this morning. This impacts customer support.,hardware,high,laptop
"Kindly help, Account disabled. My account seems disabled and I cannot sign in for the past 2 days. It is urgent.",account,high,access_management
"Morning, Cannot start computer. The computer is not powering on since yesterday. The power light is off. I cannot continue my tasks.",hardware,high,desktop
Blue screen on PC The PC shows a blue screen and restarts frequently this week. It is urgent.,hardware,high,laptop
Requesting support: VPN not connecting. VPN fails to connect to head office after restart. I cannot access shared folders. I cannot continue my tasks.,network,high,dns
Printer offline Printer shows offline and jobs do not print today. I cannot continue my tasks.,printer,high,scanner
LAN keeps disconnecting Ethernet connection drops when cable is moved for the past 2 days. I cannot continue my tasks.,network,high,lan
"Hi IT team, DNS issue. Some websites open but others fail; looks like DNS issue after restart. This impacts customer support.",network,medium,connectivity
MFA not working OTP/MFA is not working and I cannot login for the past 2 days. This is affecting my work.,account,medium,permissions
Account disabled My account seems disabled and I cannot sign in after restart.,account,high,access_management
Attachments blocked Email attachments cannot be downloaded or are blocked since this morning. This impacts customer support.,email,high,calendar
Unauthorized login attempts There are login attempts from unknown location on my account since this morning. It is urgent.,security,critical,unauthorized_access
Battery not charging The laptop battery is not charging and only works with charger.,hardware,medium,laptop
Possible data leak A sensitive document may have been shared incorrectly since this morning. Please advise. This is delaying service.,security,critical,security_incident
Scanner not working Scanner fails with paper jam message even when clear since yesterday.,printer,medium,scanner
Shared mailbox request Please grant access to shared mailbox for our department since yesterday. I cannot continue my tasks.,email,low,email
"Hi IT team, Attachments blocked. Email attachments cannot be downloaded or are blocked after the latest update. This impacts customer support.",email,medium,mailbox_access
Antivirus license expired Antivirus says license expired and blocks updates today. It is urgent.,software,medium,os_update
Printer offline Printer shows offline and jobs do not print today. This is delaying service.,printer,high,toner
Network connection is very slow The network is very slow at operations office since this morning. Emails take long and sites time out. I cannot continue my tasks.,network,medium,lan
Blue screen on workstation The workstation shows a blue screen and restarts frequently after the latest update. This is affecting my work.,hardware,high,workstation
IT portal error on submit The IT portal shows an error when submitting a ticket today. This is delaying service.,software,low,database_client
Cannot access shared drive I cannot access the shared drive on the network since this morning. It says path not found. This is delaying service.,network,medium,file_sharing
Faded prints Printer prints faded pages and shows low toner since yesterday. It is urgent.,printer,low,print_queue
Scanner not working Scanner fails with paper jam message even when clear this week. It is urgent.,printer,medium,toner
Cannot start PC The PC is not powering on for the past 2 days. The power light is off. This is delaying service.,hardware,high,peripheral
Scanner not working Scanner fails with paper jam message even when clear this week. This is delaying service.,printer,high,scanner
Application crashing The application crashes when I click submit/save today.,software,high,database_client
Calendar invites failing Meeting invites fail or do not update in calendar today. This is delaying service.,email,low,email
"Hello, Printer offline. Printer shows offline and jobs do not print today. I cannot continue my tasks.",printer,high,printer
"Kindly help, Unauthorized login attempts. There are login attempts from unknown location on my account today. This is affecting my work.",security,critical,phishing
MFA not working OTP/MFA is not working and I cannot login since this morning. This is delaying service.,account,high,access_management
Monitor flickering My monitor keeps flickering and sometimes goes black for the past 2 days. This impacts customer support.,hardware,medium,peripheral
Calendar invites failing Meeting invites fail or do not update in calendar after restart. This is delaying service.,email,high,calendar
Monitor flickering My monitor keeps flickering and sometimes goes black today. This impacts customer support.,hardware,medium,power
Malware alert detected Antivirus detected malware and quarantined a file this week. Please investigate. This is delaying service.,security,critical,data_leak
Scanner not working Scanner fails with paper jam message even when clear after the latest update. This is affecting my work.,printer,medium,scanner
I need help with Monitor flickering. My monitor keeps flickering and sometimes goes black after the latest update. This impacts customer support.,hardware,high,workstation
Shared mailbox request Please grant access to shared mailbox for our department since this morning. It is urgent.,email,low,collaboration
Print queue stuck Print queue is stuck and jobs cannot be cancelled for the past 2 days. I cannot continue my tasks.,printer,medium,printer
Network connection is very slow The network is very slow at customer service for the past 2 days. Emails take long and sites time out. This impacts customer support.,network,medium,connectivity
Calendar invites failing Meeting invites fail or do not update in calendar for the past 2 days. This is delaying service.,email,high,collaboration
Malware alert detected Antivirus detected malware and quarantined a file after the latest update. Please investigate. I cannot continue my tasks.,security,critical,malware
DNS issue Some websites open but others fail; looks like DNS issue today.,network,medium,wifi
"Hello, IT portal error on submit. The IT portal shows an error when submitting a ticket this week.",software,medium,database_client
Internal HR system not responding The HR system is not responding and pages keep loading since this morning. This is delaying service.,software,medium,web_application
Access denied to folder I get access denied when opening the shared folder/system since yesterday. This impacts customer support.,account,medium,mfa
"Kindly help, Monitor flickering. My monitor keeps flickering and sometimes goes black for the past 2 days.",hardware,medium,laptop
DNS issue Some websites open but others fail; looks like DNS issue this week. This is delaying service.,network,high,wifi
Phishing email reported I received a suspicious email asking for credentials today. I did not click links. This is affecting my work.,security,high,data_leak
IT portal error on submit The IT portal shows an error when submitting a ticket today.,software,high,antivirus
I need help with Cannot login to LECIntelliSupport system. I cannot login to the LECIntelliSupport portal after restart. It says invalid session or error. It is urgent.,software,high,database_client
I need help with IT portal error on submit. The IT portal shows an error when submitting a ticket this week. It is urgent.,software,medium,antivirus
Update failed Windows/software update fails with an error code and PC becomes slow today. I cannot continue my tasks.,software,medium,antivirus
"Morning, Monitor flickering. My monitor keeps flickering and sometimes goes black for the past 2 days. This impacts customer support.",hardware,medium,peripheral
Battery not charging The laptop battery is not charging and only works with charger. This is delaying service.,hardware,low,peripheral
"Hi IT team, No internet connection. Wi-Fi shows connected but no internet works after restart. This impacts customer support.",network,medium,vpn
Unauthorized login attempts There are login attempts from unknown location on my account since yesterday. This is delaying service.,security,critical,unauthorized_access
Request new access Please grant me access to the procurement/finance module required for my work after restart. I cannot continue my tasks.,account,low,mfa
Account disabled My account seems disabled and I cannot sign in after the latest update. This is delaying service.,account,high,permissions
I need help with Malware alert detected. Antivirus detected malware and quarantined a file this week. Please investigate. I cannot continue my tasks.,security,critical,unauthorized_access
Keyboard not responding The keyboard keys are not responding and the mouse freezes today. This is delaying service.,hardware,low,workstation
Outlook not syncing Outlook is not syncing new emails since yesterday.,email,medium,mailbox_access
Phishing email reported I received a suspicious email asking for credentials since yesterday. I did not click links. I cannot continue my tasks.,security,high,malware
"Afternoon, Access denied to folder. I get access denied when opening the shared folder/system after restart. This is delaying service.",account,high,mfa
"Please assist, Battery not charging. The desktop computer battery is not charging and only works with charger. This is delaying service.",hardware,medium,workstation
"Hello, Cannot access shared drive. I cannot access the shared drive on the network this week. It says path not found. I cannot continue my tasks.",network,low,wifi
Phishing email reported I received a suspicious email asking for credentials for the past 2 days. I did not click links. This is affecting my work.,security,high,unauthorized_access
"Hi IT team, Antivirus license expired. Antivirus says license expired and blocks updates this week. This impacts customer support.",software,low,antivirus
"Please assist, Possible data leak. A sensitive document may have been shared incorrectly this week. Please advise. It is urgent.",security,critical,malware
Cannot start workstation The workstation is not powering on for the past 2 days. The power light is off. This impacts customer support.,hardware,high,peripheral
Scanner not working Scanner fails with paper jam message even when clear after the latest update. It is urgent.,printer,low,print_queue
Antivirus license expired Antivirus says license expired and blocks updates after restart. This is affecting my work.,software,medium,web_application
VPN not connecting VPN fails to connect to head office for the past 2 days. I cannot access shared folders. This impacts customer support.,network,high,dns
IT portal error on submit The IT portal shows an error when submitting a ticket after the latest update. This is affecting my work.,software,high,antivirus
Requesting support: Outlook not syncing. Outlook is not syncing new emails for the past 2 days. I cannot continue my tasks.,email,medium,mailbox_access
Requesting support: Cannot login to LECIntelliSupport system. I cannot login to the LECIntelliSupport portal today. It says invalid session or error.,software,medium,database_client
Application crashing The application crashes when I click submit/save since yesterday. I cannot continue my tasks.,software,medium,antivirus
MFA not working OTP/MFA is not working and I cannot login since this morning. It is urgent.,account,medium,password_reset
USB security warning A USB device triggered a security warning when connected since yesterday. This impacts customer support.,security,high,phishing
Printer not detected Printer not detected on the network this week. Cannot print from any PC. It is urgent.,printer,high,print_queue
